key,value,date
Pequeños universos,0,2013-05-01
Pequeños universos,295,2013-06-01
Pequeños universos,333,2013-07-01
Pequeños universos,310,2013-08-01
Pequeños universos,343,2013-09-01
Pequeños universos,22,2013-10-01
Pequeños universos,0,2013-11-01
Pequeños universos,0,2013-12-01
Pequeños universos,0,2014-01-01
Pequeños universos,0,2014-02-01
Pequeños universos,0,2014-03-01
Pequeños universos,236,2014-04-01
Pequeños universos,371,2014-05-01
Pequeños universos,388,2014-06-01
Pequeños universos,383,2014-07-01
Pequeños universos,406,2014-08-01
Pequeños universos,22,2014-09-01
Pequeños universos,0,2014-10-01
Pequeños universos,0,2014-11-01
Pequeños universos,324,2014-12-01
Pequeños universos,449,2015-01-01
Pequeños universos,481,2015-02-01
Pequeños universos,0,2015-03-01
Pequeños universos,0,2015-04-01
Pequeños universos,0,2015-05-01
Pequeños universos,0,2015-06-01
Pequeños universos,0,2015-07-01
Pequeños universos,0,2015-08-01
Pequeños universos,0,2015-09-01
Pequeños universos,0,2015-10-01
Pequeños universos,60,2015-11-01
Pequeños universos,0,2015-12-01
Pequeños universos,0,2016-01-01
Pequeños universos,314,2016-02-01
Pequeños universos,7,2016-03-01
Pequeños universos,0,2016-04-01
Pequeños universos,0,2016-05-01
Pequeños universos,0,2016-06-01
Pequeños universos,0,2016-07-01
Pequeños universos,440,2016-08-01
Pequeños universos,398,2016-09-01
Pequeños universos,38,2016-10-01
Cultura para principiantes,0,2013-05-01
Cultura para principiantes,0,2013-06-01
Cultura para principiantes,0,2013-07-01
Cultura para principiantes,0,2013-08-01
Cultura para principiantes,0,2013-09-01
Cultura para principiantes,0,2013-10-01
Cultura para principiantes,0,2013-11-01
Cultura para principiantes,0,2013-12-01
Cultura para principiantes,0,2014-01-01
Cultura para principiantes,0,2014-02-01
Cultura para principiantes,0,2014-03-01
Cultura para principiantes,0,2014-04-01
Cultura para principiantes,0,2014-05-01
Cultura para principiantes,0,2014-06-01
Cultura para principiantes,0,2014-07-01
Cultura para principiantes,0,2014-08-01
Cultura para principiantes,0,2014-09-01
Cultura para principiantes,0,2014-10-01
Cultura para principiantes,0,2014-11-01
Cultura para principiantes,0,2014-12-01
Cultura para principiantes,0,2015-01-01
Cultura para principiantes,0,2015-02-01
Cultura para principiantes,0,2015-03-01
Cultura para principiantes,0,2015-04-01
Cultura para principiantes,0,2015-05-01
Cultura para principiantes,0,2015-06-01
Cultura para principiantes,0,2015-07-01
Cultura para principiantes,316,2015-08-01
Cultura para principiantes,359,2015-09-01
Cultura para principiantes,208,2015-10-01
Cultura para principiantes,122,2015-11-01
Cultura para principiantes,442,2015-12-01
Cultura para principiantes,503,2016-01-01
Cultura para principiantes,336,2016-02-01
Cultura para principiantes,246,2016-03-01
Cultura para principiantes,261,2016-04-01
Cultura para principiantes,277,2016-05-01
Cultura para principiantes,245,2016-06-01
Cultura para principiantes,779,2016-07-01
Cultura para principiantes,299,2016-08-01
Cultura para principiantes,715,2016-09-01
Cultura para principiantes,904,2016-10-01
Aguas adentro,0,2013-05-01
Aguas adentro,0,2013-06-01
Aguas adentro,0,2013-07-01
Aguas adentro,0,2013-08-01
Aguas adentro,0,2013-09-01
Aguas adentro,0,2013-10-01
Aguas adentro,0,2013-11-01
Aguas adentro,0,2013-12-01
Aguas adentro,0,2014-01-01
Aguas adentro,0,2014-02-01
Aguas adentro,0,2014-03-01
Aguas adentro,0,2014-04-01
Aguas adentro,0,2014-05-01
Aguas adentro,366,2014-06-01
Aguas adentro,359,2014-07-01
Aguas adentro,359,2014-08-01
Aguas adentro,443,2014-09-01
Aguas adentro,443,2014-10-01
Aguas adentro,430,2014-11-01
Aguas adentro,392,2014-12-01
Aguas adentro,94,2015-01-01
Aguas adentro,0,2015-02-01
Aguas adentro,335,2015-03-01
Aguas adentro,283,2015-04-01
Aguas adentro,33,2015-05-01
Aguas adentro,0,2015-06-01
Aguas adentro,0,2015-07-01
Aguas adentro,0,2015-08-01
Aguas adentro,0,2015-09-01
Aguas adentro,0,2015-10-01
Aguas adentro,0,2015-11-01
Aguas adentro,0,2015-12-01
Aguas adentro,295,2016-01-01
Aguas adentro,457,2016-02-01
Aguas adentro,304,2016-03-01
Aguas adentro,423,2016-04-01
Aguas adentro,477,2016-05-01
Aguas adentro,404,2016-06-01
Aguas adentro,463,2016-07-01
Aguas adentro,390,2016-08-01
Aguas adentro,244,2016-09-01
Aguas adentro,11,2016-10-01
Filosofía aquí y ahora,488,2013-05-01
Filosofía aquí y ahora,466,2013-06-01
Filosofía aquí y ahora,432,2013-07-01
