mes,Say no more. Charly García,Gustavo Cerati. Romper las reglas,Los Auténticos Decadentes,"Norberto ""Pappo"" Napolitano. Para...","Norberto ""Pappo"" Napolitano. Un sonido...",Los Twist,Fuerza natural. Gustavo Cerati,Los Piojos,"Norberto ""Pappo"" Napolitano. Blues local",Luis Alberto Spinetta. Almendra,Illya Kuryaki and the Valderramas,Las Pelotas. Cuantas cosas,Ratones Paranoicos,Babasónicos,El Pionero: Litto Nebbia,Patricio Rey y sus Redonditos de Ricota,Gustavo Cerati. Me verás volver,Del 63. Fito Páez,Luis Alberto Spinetta. Alma de diamante,El rock se hace grande,El Carpo. Norberto Pappo...,Gustavo Cerati. Texturas,Luis Alberto Spinetta. Artaud,Catupecu Machu. Eso vive,Attaque 77,Luis Alberto Spinetta. Las bandas...,Comienza el rock,Fabiana Cantilo. La voz femenina del...,Divididos,El capitán Luis. Luis Alberto Spinetta,Los Pericos,Kapanga. Titanes en el rock,Buen día. Miguel Abuelo,El salmón. Andrés Calamaro,Luca vive. Luca Prodan,"Norberto ""Pappo"" Napolitano. ¿Adónde...",Bersuit Vergarabat,Gustavo Cerati. Al calor de las masas
2013-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
2013-11,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225
2013-12,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,15,21,99,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,117
2014-01,0,101,0,0,0,0,0,0,0,0,92,0,92,50,0,0,0,0,0,0,7,7,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02,0,0,65,0,0,0,0,0,0,27,0,0,0,42,0,0,0,0,27,0,0,0,27,0,0,27,0,0,0,21,157,0,0,0,0,0,50,0
2014-03,0,0,0,0,0,43,0,92,0,0,0,0,0,0,0,92,0,0,0,0,31,0,0,0,0,0,0,0,92,0,90,0,0,0,0,31,15,0
2014-04,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,49,0,0,0,76,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
2014-05,0,0,0,0,181,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,104,0,0
2014-06,0,0,0,87,108,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0
2014-07,0,0,0,0,0,0,0,0,22,286,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08,0,0,0,70,0,0,0,0,0,0,0,67,0,0,0,0,0,0,38,0,0,0,0,108,0,0,0,108,0,0,0,108,0,0,0,0,0,0
2014-09,0,21,0,0,0,0,108,0,0,0,0,138,0,0,0,0,42,0,0,0,0,48,0,108,0,0,0,108,0,0,0,11,0,0,0,0,0,48
2014-10,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0
2014-11,26,33,0,26,26,0,34,0,26,34,0,0,0,0,0,0,26,33,26,0,0,26,26,0,0,33,0,0,0,26,0,0,33,26,45,60,0,33
2014-12,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,7,0,15,0,7,7,0,0,0,0,0,0,0,0
2015-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,0,0,0,110,137,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0
2015-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0
2015-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
2015-12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03,0,0,0,27,27,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0
2016-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
