mes,El bien,El perdón,La felicidad,La muerte,La naturaleza,"René Descartes, Meditaciones metafísicas",Lo real,La política,"San Agustín, Confesiones",El orden,"Aristóteles, Metafísica","Thomas Hobbes, Leviatán","Friedrich Nietzsche, Así habló...",La Historia,El lenguaje,El arte,El amor,El alma II,El otro,El conocimiento II,"Martin Heidegger, El ser y el tiempo",El ser y la nada: el ser,Lo femenino,Lo religioso,El conocimiento,El poder II,La ley,La belleza,La Filosofía,"Karl Marx, Manifiesto comunista",La verdad,"Michel Foucault, Historia de la...","Immanuel Kant, Fundamentación de la...",La patria,La angustia,El alma,"Walter Benjamin, Tesis de la filosofía...",Lo humano,El tiempo,La comunidad,Dios,La identidad,El poder,El ser y la nada: la nada,"Platón, Apología de Sócrates",La amistad,"Emmanuel Lévinas, Totalidad e Infinito",Modernidad
2015-08,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,85,0,0,85,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,85,0,58
2015-10,0,0,85,85,0,0,0,0,0,0,0,0,0,85,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
2015-11,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,56,0,0,56,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,25,0,45,0,0,0,0,0,0,0,0,52,0,0,52,0,0,0,0,0
2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,73,0,0,0,0,73,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0
2016-05,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,61,0,0,0,0,76,0,0,0,0,0,0,0,0,0,15,0,0,0,0
2016-06,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,87,0,0,87,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,95
2016-08,0,0,0,0,0,108,0,0,87,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0
2016-09,0,0,0,0,0,0,0,0,0,0,0,87,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,102,0,0,0,0,0,0,0,0,0,95,0
