mes,Juan Carlos Onetti,Jorge Amado,Alain Robbe Grillet,Juan Manuel Fangio,Atahualpa Yupanqui,Antonio Saura,Julio Cortázar,Guillermo Cabrera Infante,Milan Kundera,Richard Nixon,Miguel Delibes,Leopoldo Torre Nilsson,Ennio Morricone,Marcello Mastroianni,Sofía Loren,Franco Zeffirelli,Mario Benedetti,Carmen Martín Gaite...,Alberto Ginastera,Manuel Mujica Lainez,Carlos Saura,Elmyr De Hory,Francisco Ayala,Ernesto Sábato,Madre Teresa de Calcuta,Libertad Lamarque,Federico Fellini,Jorge Luis Borges II,Luis García Berlanga,Antonio Di Benedetto,José Ferrater Mora,Chabuca Granda,Severo Ochoa,Roman Polanski,Arthur Rubinstein,Alejo Carpentier,Gillo Pontecorvo,Manuel Vázquez Montalban,Mario Vargas Llosa,Marguerite Duras,Joan Manuel Serrat,"Joaquín Lavado ""Quino""",Raphael,Jorge Luis Borges I,Mercè Rodoreda,Geraldine Chaplin,Facundo Cabral,Roberto Rossellini,Antonio Skármeta,Otto Preminger,Augusto Roa Bastos,Juan Rulfo,Camilo José Cela,Carlos Fuentes,Manuel Puig,Salvador Dalí,Jorge Semprun
2015-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,85,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,31,0,0,0,0,0,80,0,0,0,0,0,0,0,0,54,76,0,0,0,0,0,0,64,0,0,0,0,0,0,31,0,0,0
2015-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07,46,0,0,27,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,74,0
