mes,La Chicago argentina,Buenos Aires siempre estuvo cerca,Cuna de futbolistas,Mujeres rosarinas,"Rosario, un lugar en el mundo",Cuna de artistas,La resistencia
2013-05,0,0,0,40,0,0,0
2013-06,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0
2014-02,70,0,44,0,70,70,0
2014-03,0,74,37,74,74,0,74
2014-04,52,0,48,26,0,59,59
2014-05,0,0,0,33,0,0,0
2014-06,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,0
2015-01,0,0,0,0,0,0,0
2015-02,0,0,45,0,0,0,0
2015-03,0,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,0
2015-05,0,0,0,0,0,0,0
2015-06,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0
2015-10,0,0,0,0,0,0,0
2015-11,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,0
2016-01,0,0,0,0,0,0,0
2016-02,0,0,0,0,0,0,0
2016-03,0,0,0,0,0,0,0
2016-04,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,0,0
2016-08,0,0,0,0,0,0,0
2016-09,0,0,0,0,0,0,0
2016-10,0,0,0,0,0,0,0
