mes,El sometimiento del sujeto,Simón Bolívar y la unión latinoamericana,Islam y Occidente - Los textos sagrados,Guerra del Paraguay - La causa del...,"Berlusconi, la tragedia y la farsa",Guerra del Paraguay - La batalla de...,El sujeto-otro,Teoría de la violencia,Kirchnerismo,La creación del sentido común,La llegada de la democracia,La filosofía europea y América Latina,17 de octubre,Guerra del Paraguay - La triple infamia,Pensadores - David Viñas,El viborazo,Superhéroes del imperio,Complejo militar norteamericano y...,Pensadores - Raúl Scalabrini Ortíz,Anarquistas en Argentina,Pensadores - John William Cooke,Juan B Justo y Alfredo Palacios,La década infame,El plan económico,El consenso de Washington,Islam y Occidente - La beligerancia de...,La muerte de Eva Perón,La guerra de Malvinas,El sujeto constituyente del poder...,Leandro Alem,Pensadores - Milciades Peña,El genocidio contra los armenios,Literatura y política - Rodolfo Walsh,El Marxismo en América Latina II,La interpretación como verdad,Literatura y política - Germán...,Objetivo del poder mediático,Desperonizar al país,Colonialismo y violencia,Satanás y los derechos humanos,¿Existe la filosofía latinoamericana?,Macartismo y marcianos,El Che Guevara,Los 11 principios de Joseph Goebbels,El cordobazo,La filosofía latinoamericana,Azules y colorados,Literatura y política - Jean Paul Sartre,La reforma universitaria,Guerra del Paraguay - Un genocidio...,El pensamiento de José Martí,Neoliberalismo y democracia,La realidad es una construcción del...,"El ciudadano, de Orson Welles",Dios y los derechos humanos
2015-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,66,0,0,0,0,0,34,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
2015-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05,100,0,0,0,0,0,100,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,27,89,0,0,0,27,0,0,0,0,89,62,0
2015-07,0,0,0,0,96,0,0,0,0,89,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08,89,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,53,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,7,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,88,0,88,0,0,0,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,88,88,0
2015-11,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,73,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
2016-03,0,29,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,45,0,0,0,0
2016-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0
2016-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
