mes,Inversión de motores,Potencia. Parte 2,Circuitos de iluminación. Parte 1,Motores. Parte 1,Potencia. Parte 1,Circuitos de iluminación. Parte 3,Lámparas,Llaves térmicas,Motores. Parte 2,Circuitos de iluminación. Parte 2
2013-05,0,0,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0,0,0
2014-03,0,0,0,0,0,0,0,0,0,0
2014-04,0,0,32,0,0,0,0,0,0,32
2014-05,0,0,0,0,11,32,47,0,0,0
2014-06,0,0,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,0,0,0,0
2015-01,0,0,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,0,0,0
2015-03,0,0,0,0,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,0,0,0,0
2015-05,0,0,26,0,0,33,33,0,0,33
2015-06,0,33,0,33,33,0,0,33,0,0
2015-07,33,0,33,0,0,33,0,0,33,33
2015-08,0,33,0,0,33,0,33,33,0,0
2015-09,33,0,0,33,0,0,0,0,33,0
2015-10,0,0,0,0,0,0,0,0,0,0
2015-11,0,0,0,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,0,0,0,0
2016-01,0,0,33,0,0,33,0,0,0,33
2016-02,0,33,0,0,33,0,33,33,0,0
2016-03,0,0,0,33,0,0,0,0,33,0
2016-04,0,0,0,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,0,0,0,0
2016-06,0,0,33,0,0,33,0,0,0,33
2016-07,0,33,0,33,33,0,33,33,0,0
2016-08,33,0,0,0,0,0,0,0,33,0
2016-09,0,0,0,0,0,0,0,0,0,0
2016-10,0,0,0,0,0,0,0,0,0,0
