mes,Hojas de un libro,Campanas,Capítulo 3,Matrimonios de compras,Tres sospechosos,Billetes imaginarios,La prueba del conocimiento,"El problema del médico, del payaso y...",Como borrar dígitos,Dígitos mágicos,El problema de los chicos en fila,Mundial Brasil 2014,Tres autos rápidos,Baile de porcentajes,Cruzar el río en bote,Las cartas y el mago,El bebé,Siete cifras,Tres cuadrados,Múltiplos,Suma de números de cinco dígitos,El problema de las monedas,Sabios en la torres,Adivinar la edad,Verdad y mentira,Coro animal,Cuadrados,El mago y su ayudante de lujo,Cubos en la oscuridad,Deducir el número,Cinco cifras,El número que falta,El mago,Cómo cruzar el desierto,El número oculto,Cajas con números,Tiras mágicas,Un pergamino antiguo,Ases y reyes,Todos los caminos llevan a Roma,Botines en la oscuridad,Cajas que se tocan,La secretaria distraída,La calculadora de Fran,Lista de números,La liebre y&nbsp;la tortuga,Número de tres cifras,Dados apilados,Tatetí retrospectivo,Ángel y demonio,Adivinar el número,Cartas del 1 al 10,Mundial de fútbol
2015-10,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,69,0,0,0,0
2015-11,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,21,0,0,0,0,0,39,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
2016-01,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0
2016-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,30,0
2016-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,60,0,0,0,0,60,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0
2016-05,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,83,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,53,0,0
2016-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,83,0
2016-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,94,0,0,94,0,0,0,0,94,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08,90,0,48,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,64,0,0
2016-09,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,90,0
2016-10,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,90,0,0,90,0,0,0,0,90,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
